ordinal_id,geo_id,volume
76,504403295704449100,Pixel::NegativeEndcap
77,504403295704449101,Pixel::NegativeEndcap
78,504403295704449102,Pixel::NegativeEndcap
79,504403295704449103,Pixel::NegativeEndcap
80,504403295704449104,Pixel::NegativeEndcap
81,504403295704449105,Pixel::NegativeEndcap
82,504403295704449106,Pixel::NegativeEndcap
83,504403295704449107,Pixel::NegativeEndcap
84,504403295704449108,Pixel::NegativeEndcap
85,504403295704449109,Pixel::NegativeEndcap
86,504403295704449110,Pixel::NegativeEndcap
87,504403295704449111,Pixel::NegativeEndcap
88,504403295704449112,Pixel::NegativeEndcap
89,504403295704449113,Pixel::NegativeEndcap
90,504403295704449114,Pixel::NegativeEndcap
91,504403295704449115,Pixel::NegativeEndcap
92,504403295704449116,Pixel::NegativeEndcap
93,504403295704449117,Pixel::NegativeEndcap
94,504403295704449118,Pixel::NegativeEndcap
95,504403295704449119,Pixel::NegativeEndcap
96,504403295704449120,Pixel::NegativeEndcap
97,504403295704449121,Pixel::NegativeEndcap
98,504403295704449122,Pixel::NegativeEndcap
99,504403295704449123,Pixel::NegativeEndcap
100,504403295704449124,Pixel::NegativeEndcap
101,504403295704449125,Pixel::NegativeEndcap
102,504403295704449126,Pixel::NegativeEndcap
103,504403295704449127,Pixel::NegativeEndcap
104,504403295704449128,Pixel::NegativeEndcap
105,504403295704449129,Pixel::NegativeEndcap
106,504403295704449130,Pixel::NegativeEndcap
107,504403295704449131,Pixel::NegativeEndcap
108,504403295704449132,Pixel::NegativeEndcap
109,504403433143402497,Pixel::NegativeEndcap
110,504403433143402498,Pixel::NegativeEndcap
111,504403433143402499,Pixel::NegativeEndcap
112,504403433143402500,Pixel::NegativeEndcap
113,504403433143402501,Pixel::NegativeEndcap
114,504403433143402502,Pixel::NegativeEndcap
115,504403433143402503,Pixel::NegativeEndcap
116,504403433143402504,Pixel::NegativeEndcap
117,504403433143402505,Pixel::NegativeEndcap
118,504403433143402506,Pixel::NegativeEndcap
119,504403433143402507,Pixel::NegativeEndcap
120,504403433143402508,Pixel::NegativeEndcap
121,504403433143402509,Pixel::NegativeEndcap
122,504403433143402510,Pixel::NegativeEndcap
123,504403433143402511,Pixel::NegativeEndcap
124,504403433143402512,Pixel::NegativeEndcap
125,504403433143402513,Pixel::NegativeEndcap
126,504403433143402514,Pixel::NegativeEndcap
127,504403433143402515,Pixel::NegativeEndcap
128,504403433143402516,Pixel::NegativeEndcap
129,504403433143402517,Pixel::NegativeEndcap
130,504403433143402518,Pixel::NegativeEndcap
131,504403433143402519,Pixel::NegativeEndcap
132,504403433143402520,Pixel::NegativeEndcap
133,504403433143402521,Pixel::NegativeEndcap
134,504403433143402522,Pixel::NegativeEndcap
135,504403433143402523,Pixel::NegativeEndcap
136,504403433143402524,Pixel::NegativeEndcap
137,504403433143402525,Pixel::NegativeEndcap
138,504403433143402526,Pixel::NegativeEndcap
139,504403433143402527,Pixel::NegativeEndcap
140,504403433143402528,Pixel::NegativeEndcap
141,504403433143402529,Pixel::NegativeEndcap
142,504403433143402530,Pixel::NegativeEndcap
143,504403433143402531,Pixel::NegativeEndcap
144,504403433143402532,Pixel::NegativeEndcap
145,504403433143402533,Pixel::NegativeEndcap
146,504403433143402534,Pixel::NegativeEndcap
147,504403433143402535,Pixel::NegativeEndcap
148,504403433143402536,Pixel::NegativeEndcap
149,504403433143402537,Pixel::NegativeEndcap
150,504403433143402538,Pixel::NegativeEndcap
151,504403433143402539,Pixel::NegativeEndcap
152,504403433143402540,Pixel::NegativeEndcap
153,504403433143402541,Pixel::NegativeEndcap
154,504403433143402542,Pixel::NegativeEndcap
155,504403433143402543,Pixel::NegativeEndcap
156,504403433143402544,Pixel::NegativeEndcap
157,504403433143402545,Pixel::NegativeEndcap
158,504403433143402546,Pixel::NegativeEndcap
159,504403433143402547,Pixel::NegativeEndcap
160,504403433143402548,Pixel::NegativeEndcap
161,504403433143402549,Pixel::NegativeEndcap
162,504403433143402550,Pixel::NegativeEndcap
163,504403433143402551,Pixel::NegativeEndcap
164,504403433143402552,Pixel::NegativeEndcap
165,504403433143402553,Pixel::NegativeEndcap
166,504403433143402554,Pixel::NegativeEndcap
167,504403433143402555,Pixel::NegativeEndcap
168,504403433143402556,Pixel::NegativeEndcap
169,504403433143402557,Pixel::NegativeEndcap
170,504403433143402558,Pixel::NegativeEndcap
171,504403433143402559,Pixel::NegativeEndcap
172,504403433143402560,Pixel::NegativeEndcap
173,504403433143402561,Pixel::NegativeEndcap
174,504403433143402562,Pixel::NegativeEndcap
175,504403433143402563,Pixel::NegativeEndcap
176,504403433143402564,Pixel::NegativeEndcap
177,504403433143402565,Pixel::NegativeEndcap
178,504403433143402566,Pixel::NegativeEndcap
179,504403433143402567,Pixel::NegativeEndcap
180,504403433143402568,Pixel::NegativeEndcap
181,504403433143402569,Pixel::NegativeEndcap
182,504403433143402570,Pixel::NegativeEndcap
183,504403433143402571,Pixel::NegativeEndcap
184,504403433143402572,Pixel::NegativeEndcap
185,504403433143402573,Pixel::NegativeEndcap
186,504403433143402574,Pixel::NegativeEndcap
187,504403433143402575,Pixel::NegativeEndcap
188,504403433143402576,Pixel::NegativeEndcap
189,504403433143402577,Pixel::NegativeEndcap
190,504403433143402578,Pixel::NegativeEndcap
191,504403433143402579,Pixel::NegativeEndcap
192,504403433143402580,Pixel::NegativeEndcap
193,504403433143402581,Pixel::NegativeEndcap
194,504403433143402582,Pixel::NegativeEndcap
195,504403433143402583,Pixel::NegativeEndcap
196,504403433143402584,Pixel::NegativeEndcap
197,504403433143402585,Pixel::NegativeEndcap
198,504403433143402586,Pixel::NegativeEndcap
199,504403433143402587,Pixel::NegativeEndcap
200,504403433143402588,Pixel::NegativeEndcap
201,504403433143402589,Pixel::NegativeEndcap
202,504403433143402590,Pixel::NegativeEndcap
203,504403433143402591,Pixel::NegativeEndcap
204,504403433143402592,Pixel::NegativeEndcap
205,504403433143402593,Pixel::NegativeEndcap
206,504403433143402594,Pixel::NegativeEndcap
207,504403433143402595,Pixel::NegativeEndcap
208,504403433143402596,Pixel::NegativeEndcap
209,504403433143402597,Pixel::NegativeEndcap
210,504403433143402598,Pixel::NegativeEndcap
211,504403433143402599,Pixel::NegativeEndcap
212,504403433143402600,Pixel::NegativeEndcap
213,504403433143402601,Pixel::NegativeEndcap
214,504403433143402602,Pixel::NegativeEndcap
215,504403433143402603,Pixel::NegativeEndcap
216,504403433143402604,Pixel::NegativeEndcap
217,504403570582355969,Pixel::NegativeEndcap
218,504403570582355970,Pixel::NegativeEndcap
219,504403570582355971,Pixel::NegativeEndcap
220,504403570582355972,Pixel::NegativeEndcap
221,504403570582355973,Pixel::NegativeEndcap
222,504403570582355974,Pixel::NegativeEndcap
223,504403570582355975,Pixel::NegativeEndcap
224,504403570582355976,Pixel::NegativeEndcap
225,504403570582355977,Pixel::NegativeEndcap
226,504403570582355978,Pixel::NegativeEndcap
227,504403570582355979,Pixel::NegativeEndcap
228,504403570582355980,Pixel::NegativeEndcap
229,504403570582355981,Pixel::NegativeEndcap
230,504403570582355982,Pixel::NegativeEndcap
231,504403570582355983,Pixel::NegativeEndcap
